new_name,source,series_folder,original_file,page_idx
newdata__000_a_delivery_driver_whose_mind_is_harder_t__p01.jpg,newdata,A delivery driver whose mind is harder than his body,1.jpg,1
newdata__000_a_delivery_driver_whose_mind_is_harder_t__p02.jpg,newdata,A delivery driver whose mind is harder than his body,2.jpg,2
newdata__000_a_delivery_driver_whose_mind_is_harder_t__p03.jpg,newdata,A delivery driver whose mind is harder than his body,3.jpg,3
newdata__000_a_delivery_driver_whose_mind_is_harder_t__p04.jpg,newdata,A delivery driver whose mind is harder than his body,4.jpg,4
newdata__000_a_delivery_driver_whose_mind_is_harder_t__p05.jpg,newdata,A delivery driver whose mind is harder than his body,5.jpg,5
newdata__000_a_delivery_driver_whose_mind_is_harder_t__p06.jpg,newdata,A delivery driver whose mind is harder than his body,6.jpg,6
newdata__000_a_delivery_driver_whose_mind_is_harder_t__p07.jpg,newdata,A delivery driver whose mind is harder than his body,7.jpg,7
newdata__000_a_delivery_driver_whose_mind_is_harder_t__p08.jpg,newdata,A delivery driver whose mind is harder than his body,8.jpg,8
newdata__000_a_delivery_driver_whose_mind_is_harder_t__p09.jpg,newdata,A delivery driver whose mind is harder than his body,9.jpg,9
newdata__000_a_delivery_driver_whose_mind_is_harder_t__p10.jpg,newdata,A delivery driver whose mind is harder than his body,10.jpg,10
newdata__001_alpha_generation_exploration_life__p01.jpg,newdata,Alpha Generation Exploration Life,1.jpg,1
newdata__001_alpha_generation_exploration_life__p02.jpg,newdata,Alpha Generation Exploration Life,2.jpg,2
newdata__001_alpha_generation_exploration_life__p03.jpg,newdata,Alpha Generation Exploration Life,3.jpg,3
newdata__001_alpha_generation_exploration_life__p04.jpg,newdata,Alpha Generation Exploration Life,4.jpg,4
newdata__001_alpha_generation_exploration_life__p05.jpg,newdata,Alpha Generation Exploration Life,5.jpg,5
newdata__001_alpha_generation_exploration_life__p06.jpg,newdata,Alpha Generation Exploration Life,6.jpg,6
newdata__001_alpha_generation_exploration_life__p07.jpg,newdata,Alpha Generation Exploration Life,7.jpg,7
newdata__001_alpha_generation_exploration_life__p08.jpg,newdata,Alpha Generation Exploration Life,8.jpg,8
newdata__001_alpha_generation_exploration_life__p09.jpg,newdata,Alpha Generation Exploration Life,9.jpg,9
newdata__001_alpha_generation_exploration_life__p10.jpg,newdata,Alpha Generation Exploration Life,10.jpg,10
newdata__002_capturing_golden_time_for_flooding_throu__p01.jpg,newdata,Capturing golden time for flooding through real-time deep learning analysis,1.jpg,1
